Acyclic:
998,0.0026934146881103516
1998,0.005416154861450195
2998,0.007588624954223633
3998,0.01044464111328125
4998,0.018481731414794922
5998,0.02559971809387207
6998,0.018096923828125
7998,0.032824039459228516
8998,0.040000200271606445
9998,0.042374372482299805
Cyclic:
1000,0.0016129016876220703
2000,0.002780437469482422
3000,0.003702402114868164
4000,0.004652738571166992
5000,0.010246753692626953
6000,0.00923919677734375
7000,0.0204775333404541
8000,0.011634349822998047
9000,0.012562751770019531
10000,0.01586747169494629
Random:
1440,0.004300117492675781
2782,0.003894329071044922
4112,0.007374286651611328
5474,0.006844758987426758
6724,0.007503509521484375
8122,0.008283853530883789
9626,0.02480340003967285
10958,0.014913558959960938
12390,0.014063358306884766
13736,0.018281221389770508
Complete:
39800,0.04495429992675781
159600,0.2690730094909668
359400,0.41495513916015625
639200,0.7090349197387695
999000,1.5455958843231201
1438800,1.6439929008483887
1958600,3.225308656692505
2558400,4.5808022022247314
3238200,4.216956377029419
3998000,7.383875608444214
