Acyclic:
998,0.00046253204345703125
1998,0.0009026527404785156
2998,0.0012459754943847656
3998,0.0015838146209716797
4998,0.0019335746765136719
5998,0.0024967193603515625
6998,0.002758502960205078
7998,0.0036287307739257812
8998,0.003972530364990234
9998,0.0048677921295166016
Cyclic:
1000,2.7418136596679688e-05
2000,4.124641418457031e-05
3000,5.316734313964844e-05
4000,8.487701416015625e-05
5000,8.153915405273438e-05
6000,0.00012445449829101562
7000,0.00013208389282226562
8000,0.00017404556274414062
9000,0.0001823902130126953
10000,0.00019693374633789062
Random:
1374,3.743171691894531e-05
2742,4.410743713378906e-05
4200,5.364418029785156e-05
5500,8.821487426757812e-05
6948,0.00011706352233886719
8072,0.00013780593872070312
9640,0.00015974044799804688
10730,0.00015115737915039062
12288,0.00029969215393066406
13524,0.00019025802612304688
Complete:
39800,0.0001780986785888672
159600,0.00027441978454589844
359400,0.00046539306640625
639200,0.0009932518005371094
999000,0.0008203983306884766
1438800,0.0009393692016601562
1958600,0.0011510848999023438
2558400,0.0012722015380859375
3238200,0.001608133316040039
3998000,0.0017697811126708984
